datetime,Engine RPM (RPM),Battery Voltage (V),LP Fuel Pressure (PSI),HP Rail Pressure (PSI),Coolant Temp (°C),Oil Pressure (PSI),Engine Oil Temp (°C),Boost Pressure (PSI),Throttle Angle (%),Intake Pressure (PSI),Valvetronic Angle (deg)
2026-03-05 17:51:29.154,656,,,,,,,,,,
2026-03-05 17:51:29.241,656,14.60,,,,,,,,,
2026-03-05 17:51:29.341,656,14.60,,,,,,,5.5,,
2026-03-05 17:51:29.443,656,14.60,,,,40.2,,,5.5,,
2026-03-05 17:51:29.537,656,14.60,,,,40.2,,14.65,5.5,,
2026-03-05 17:51:29.626,656,14.60,86.9,,,40.2,,14.65,5.5,,
2026-03-05 17:51:29.729,656,14.60,86.9,1173.0,,40.2,,14.65,5.5,,
2026-03-05 17:51:29.817,656,14.60,86.9,1173.0,,40.2,,14.65,5.5,13.90,
2026-03-05 17:51:29.909,656,14.60,86.9,1173.0,,40.2,77.9,14.65,5.5,13.90,
2026-03-05 17:51:30.009,656,14.60,86.9,1173.0,75.0,40.2,77.9,14.65,5.5,13.90,
2026-03-05 17:51:30.109,656,14.60,86.9,1173.0,75.0,40.2,77.9,14.65,5.5,13.90,34.1
2026-03-05 17:51:30.212,678,14.60,86.9,1173.0,75.0,40.2,77.9,14.65,5.5,13.90,34.1
2026-03-05 17:51:30.299,678,14.60,86.9,1173.0,75.0,40.2,77.9,14.65,5.5,13.90,34.1
2026-03-05 17:51:30.404,678,14.60,86.9,1173.0,75.0,40.2,77.9,14.65,5.5,13.90,34.1
2026-03-05 17:51:30.490,678,14.60,86.9,1173.0,75.0,40.6,77.9,14.65,5.5,13.90,34.1
2026-03-05 17:51:30.585,678,14.60,86.9,1173.0,75.0,40.6,77.9,14.67,5.5,13.90,34.1
2026-03-05 17:51:30.681,678,14.60,86.7,1173.0,75.0,40.6,77.9,14.67,5.5,13.90,34.1
2026-03-05 17:51:30.783,678,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.90,34.1
2026-03-05 17:51:30.872,678,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,34.1
2026-03-05 17:51:30.966,678,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,34.1
2026-03-05 17:51:31.063,678,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,34.1
2026-03-05 17:51:31.150,678,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,35.7
2026-03-05 17:51:31.252,706,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,35.7
2026-03-05 17:51:31.339,706,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.5,13.89,35.7
2026-03-05 17:51:31.442,706,14.60,86.7,1133.5,75.0,40.6,77.9,14.67,5.8,13.89,35.7
2026-03-05 17:51:31.534,706,14.60,86.7,1133.5,75.0,40.8,77.9,14.67,5.8,13.89,35.7
2026-03-05 17:51:31.631,706,14.60,86.7,1133.5,75.0,40.8,77.9,14.67,5.8,13.89,35.7
2026-03-05 17:51:31.726,706,14.60,86.7,1133.5,75.0,40.8,77.9,14.67,5.8,13.89,35.7
2026-03-05 17:51:31.814,706,14.60,86.7,1174.9,75.0,40.8,77.9,14.67,5.8,13.89,35.7
2026-03-05 17:51:31.903,706,14.60,86.7,1174.9,75.0,40.8,77.9,14.67,5.8,13.90,35.7
2026-03-05 17:51:31.990,706,14.60,86.7,1174.9,75.0,40.8,77.9,14.67,5.8,13.90,35.7
2026-03-05 17:51:32.083,706,14.60,86.7,1174.9,75.5,40.8,77.9,14.67,5.8,13.90,35.7
2026-03-05 17:51:32.180,706,14.60,86.7,1174.9,75.5,40.8,77.9,14.67,5.8,13.90,35.4
2026-03-05 17:51:32.281,658,14.60,86.7,1174.9,75.5,40.8,77.9,14.67,5.8,13.90,35.4
2026-03-05 17:51:32.369,658,14.40,86.7,1174.9,75.5,40.8,77.9,14.67,5.8,13.90,35.4
2026-03-05 17:51:32.470,658,14.40,86.7,1174.9,75.5,40.8,77.9,14.67,6.1,13.90,35.4
2026-03-05 17:51:32.568,658,14.40,86.7,1174.9,75.5,40.4,77.9,14.67,6.1,13.90,35.4
2026-03-05 17:51:32.664,658,14.40,86.7,1174.9,75.5,40.4,77.9,14.68,6.1,13.90,35.4
2026-03-05 17:51:32.760,658,14.40,87.0,1174.9,75.5,40.4,77.9,14.68,6.1,13.90,35.4
2026-03-05 17:51:32.861,658,14.40,87.0,1370.0,75.5,40.4,77.9,14.68,6.1,13.90,35.4
2026-03-05 17:51:32.948,658,14.40,87.0,1370.0,75.5,40.4,77.9,14.68,6.1,13.89,35.4
2026-03-05 17:51:33.040,658,14.40,87.0,1370.0,75.5,40.4,78.5,14.68,6.1,13.89,35.4
2026-03-05 17:51:33.140,658,14.40,87.0,1370.0,75.5,40.4,78.5,14.68,6.1,13.89,35.4
2026-03-05 17:51:33.241,658,14.40,87.0,1370.0,75.5,40.4,78.5,14.68,6.1,13.89,36.7
2026-03-05 17:51:33.340,638,14.40,87.0,1370.0,75.5,40.4,78.5,14.68,6.1,13.89,36.7
2026-03-05 17:51:33.432,638,14.50,87.0,1370.0,75.5,40.4,78.5,14.68,6.1,13.89,36.7
2026-03-05 17:51:33.533,638,14.50,87.0,1370.0,75.5,40.4,78.5,14.68,5.8,13.89,36.7
2026-03-05 17:51:33.633,638,14.50,87.0,1370.0,75.5,40.3,78.5,14.68,5.8,13.89,36.7
2026-03-05 17:51:33.728,638,14.50,87.0,1370.0,75.5,40.3,78.5,14.71,5.8,13.89,36.7
2026-03-05 17:51:33.824,638,14.50,86.9,1370.0,75.5,40.3,78.5,14.71,5.8,13.89,36.7
2026-03-05 17:51:33.921,638,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.89,36.7
2026-03-05 17:51:34.021,638,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,36.7
2026-03-05 17:51:34.123,638,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,36.7
2026-03-05 17:51:34.219,638,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,36.7
2026-03-05 17:51:34.315,638,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,42.0
2026-03-05 17:51:34.404,828,14.50,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,42.0
2026-03-05 17:51:34.501,828,14.60,86.9,1338.6,75.5,40.3,78.5,14.71,5.8,13.91,42.0
2026-03-05 17:51:34.600,828,14.60,86.9,1338.6,75.5,40.3,78.5,14.71,9.1,13.91,42.0
2026-03-05 17:51:34.691,828,14.60,86.9,1338.6,75.5,42.6,78.5,14.71,9.1,13.91,42.0
2026-03-05 17:51:34.787,828,14.60,86.9,1338.6,75.5,42.6,78.5,14.71,9.1,13.91,42.0
2026-03-05 17:51:34.892,828,14.60,86.2,1338.6,75.5,42.6,78.5,14.71,9.1,13.91,42.0
2026-03-05 17:51:34.994,828,14.60,86.2,1528.1,75.5,42.6,78.5,14.71,9.1,13.91,42.0
2026-03-05 17:51:35.081,828,14.60,86.2,1528.1,75.5,42.6,78.5,14.71,9.1,13.93,42.0
2026-03-05 17:51:35.168,828,14.60,86.2,1528.1,75.5,42.6,78.5,14.71,9.1,13.93,42.0
2026-03-05 17:51:35.265,828,14.60,86.2,1528.1,75.0,42.6,78.5,14.71,9.1,13.93,42.0
2026-03-05 17:51:35.351,828,14.60,86.2,1528.1,75.0,42.6,78.5,14.71,9.1,13.93,41.0
2026-03-05 17:51:35.451,840,14.60,86.2,1528.1,75.0,42.6,78.5,14.71,9.1,13.93,41.0
2026-03-05 17:51:35.541,840,14.60,86.2,1528.1,75.0,42.6,78.5,14.71,9.1,13.93,41.0
2026-03-05 17:51:35.633,840,14.60,86.2,1528.1,75.0,42.6,78.5,14.71,6.7,13.93,41.0
2026-03-05 17:51:35.732,840,14.60,86.2,1528.1,75.0,41.6,78.5,14.71,6.7,13.93,41.0
2026-03-05 17:51:35.826,840,14.60,86.2,1528.1,75.0,41.6,78.5,14.76,6.7,13.93,41.0
2026-03-05 17:51:35.910,840,14.60,86.9,1528.1,75.0,41.6,78.5,14.76,6.7,13.93,41.0
2026-03-05 17:51:36.014,840,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.93,41.0
2026-03-05 17:51:36.099,840,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.0
2026-03-05 17:51:36.202,840,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.0
2026-03-05 17:51:36.299,840,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.0
2026-03-05 17:51:36.396,840,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.3
2026-03-05 17:51:36.490,818,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.3
2026-03-05 17:51:36.583,818,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.7,13.88,41.3
2026-03-05 17:51:36.667,818,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.8,13.88,41.3
2026-03-05 17:51:36.772,818,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.8,13.88,41.3
2026-03-05 17:51:36.868,818,14.60,86.9,1144.8,75.0,41.6,78.5,14.76,6.8,13.88,41.3
2026-03-05 17:51:36.973,818,14.60,87.5,1144.8,75.0,41.6,78.5,14.76,6.8,13.88,41.3
2026-03-05 17:51:37.067,818,14.60,87.5,1239.0,75.0,41.6,78.5,14.76,6.8,13.88,41.3
2026-03-05 17:51:37.169,818,14.60,87.5,1239.0,75.0,41.6,78.5,14.76,6.8,13.86,41.3
2026-03-05 17:51:37.259,818,14.60,87.5,1239.0,75.0,41.6,78.5,14.76,6.8,13.86,41.3
2026-03-05 17:51:37.358,818,14.60,87.5,1239.0,74.5,41.6,78.5,14.76,6.8,13.86,41.3
2026-03-05 17:51:37.464,818,14.60,87.5,1239.0,74.5,41.6,78.5,14.76,6.8,13.86,44.9
2026-03-05 17:51:37.553,965,14.60,87.5,1239.0,74.5,41.6,78.5,14.76,6.8,13.86,44.9
2026-03-05 17:51:37.649,965,14.60,87.5,1239.0,74.5,41.6,78.5,14.76,6.8,13.86,44.9
2026-03-05 17:51:37.748,965,14.60,87.5,1239.0,74.5,41.6,78.5,14.76,7.9,13.86,44.9
2026-03-05 17:51:37.847,965,14.60,87.5,1239.0,74.5,42.3,78.5,14.76,7.9,13.86,44.9
2026-03-05 17:51:37.943,965,14.60,87.5,1239.0,74.5,42.3,78.5,14.79,7.9,13.86,44.9
2026-03-05 17:51:38.040,965,14.60,87.4,1239.0,74.5,42.3,78.5,14.79,7.9,13.86,44.9
2026-03-05 17:51:38.128,965,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,13.86,44.9
2026-03-05 17:51:38.230,965,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,44.9
2026-03-05 17:51:38.332,965,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,44.9
2026-03-05 17:51:38.428,965,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,44.9
2026-03-05 17:51:38.533,965,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,40.3
2026-03-05 17:51:38.628,984,14.60,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,40.3
2026-03-05 17:51:38.734,984,14.50,87.4,1164.1,74.5,42.3,78.5,14.79,7.9,14.02,40.3
2026-03-05 17:51:38.825,984,14.50,87.4,1164.1,74.5,42.3,78.5,14.79,7.2,14.02,40.3
