datetime,Engine RPM (RPM),Battery Voltage (V),LP Fuel Pressure (PSI),HP Rail Pressure (PSI),Coolant Temp (°C),Oil Pressure (PSI),Engine Oil Temp (°C),Boost Pressure (PSI),Throttle Angle (%),Intake Pressure (PSI),Valvetronic Angle (deg)
2026-03-05 17:58:37.073,,,,,,,,,,,26.9
2026-03-05 17:58:37.161,664,,,,,,,,,,26.9
2026-03-05 17:58:37.265,664,14.70,,,,,,,,,26.9
2026-03-05 17:58:37.393,664,14.70,,,,,,,3.4,,26.9
2026-03-05 17:58:37.495,664,14.70,,,,38.9,,,3.4,,26.9
2026-03-05 17:58:37.607,664,14.70,,,,38.9,,14.70,3.4,,26.9
2026-03-05 17:58:37.702,664,14.70,87.4,,,38.9,,14.70,3.4,,26.9
2026-03-05 17:58:37.805,664,14.70,87.4,694.5,,38.9,,14.70,3.4,,26.9
2026-03-05 17:58:37.909,664,14.70,87.4,694.5,,38.9,,14.70,3.4,13.94,26.9
2026-03-05 17:58:38.013,664,14.70,87.4,694.5,,38.9,94.9,14.70,3.4,13.94,26.9
2026-03-05 17:58:38.116,664,14.70,87.4,694.5,89.5,38.9,94.9,14.70,3.4,13.94,26.9
2026-03-05 17:58:38.224,664,14.70,87.4,694.5,89.5,38.9,94.9,14.70,3.4,13.94,27.5
2026-03-05 17:58:38.316,578,14.70,87.4,694.5,89.5,38.9,94.9,14.70,3.4,13.94,27.5
2026-03-05 17:58:38.418,578,14.60,87.4,694.5,89.5,38.9,94.9,14.70,3.4,13.94,27.5
2026-03-05 17:58:38.521,578,14.60,87.4,694.5,89.5,38.9,94.9,14.70,3.6,13.94,27.5
2026-03-05 17:58:38.611,578,14.60,87.4,694.5,89.5,37.5,94.9,14.70,3.6,13.94,27.5
2026-03-05 17:58:38.710,578,14.60,87.4,694.5,89.5,37.5,94.9,14.68,3.6,13.94,27.5
2026-03-05 17:58:38.814,578,14.60,88.0,694.5,89.5,37.5,94.9,14.68,3.6,13.94,27.5
2026-03-05 17:58:38.902,578,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.94,27.5
2026-03-05 17:58:39.005,578,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,27.5
2026-03-05 17:58:39.108,578,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,27.5
2026-03-05 17:58:39.203,578,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,27.5
2026-03-05 17:58:39.292,578,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,36.7
2026-03-05 17:58:39.397,848,14.60,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,36.7
2026-03-05 17:58:39.533,848,14.70,88.0,777.6,89.5,37.5,94.9,14.68,3.6,13.90,36.7
2026-03-05 17:58:39.630,848,14.70,88.0,777.6,89.5,37.5,94.9,14.68,8.9,13.90,36.7
2026-03-05 17:58:39.771,848,14.70,88.0,777.6,89.5,43.6,94.9,14.68,8.9,13.90,36.7
2026-03-05 17:58:39.865,848,14.70,88.0,777.6,89.5,43.6,94.9,14.70,8.9,13.90,36.7
2026-03-05 17:58:39.968,848,14.70,86.0,777.6,89.5,43.6,94.9,14.70,8.9,13.90,36.7
2026-03-05 17:58:40.070,848,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.90,36.7
2026-03-05 17:58:40.172,848,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,36.7
2026-03-05 17:58:40.261,848,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,36.7
2026-03-05 17:58:40.357,848,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,36.7
2026-03-05 17:58:40.455,848,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,35.1
2026-03-05 17:58:40.558,904,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,35.1
2026-03-05 17:58:40.661,904,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,8.9,13.99,35.1
2026-03-05 17:58:40.756,904,14.70,86.0,1324.6,89.5,43.6,94.9,14.70,3.6,13.99,35.1
2026-03-05 17:58:40.857,904,14.70,86.0,1324.6,89.5,40.9,94.9,14.70,3.6,13.99,35.1
2026-03-05 17:58:40.951,904,14.70,86.0,1324.6,89.5,40.9,94.9,14.71,3.6,13.99,35.1
2026-03-05 17:58:41.040,904,14.70,86.8,1324.6,89.5,40.9,94.9,14.71,3.6,13.99,35.1
2026-03-05 17:58:41.143,904,14.70,86.8,777.3,89.5,40.9,94.9,14.71,3.6,13.99,35.1
2026-03-05 17:58:41.244,904,14.70,86.8,777.3,89.5,40.9,94.9,14.71,3.6,13.92,35.1
2026-03-05 17:58:41.355,904,14.70,86.8,777.3,89.5,40.9,94.9,14.71,3.6,13.92,35.1
2026-03-05 17:58:41.453,904,14.70,86.8,777.3,89.5,40.9,94.9,14.71,3.6,13.92,35.1
2026-03-05 17:58:41.555,904,14.70,86.8,777.3,89.5,40.9,94.9,14.71,3.6,13.92,27.5
