datetime,Engine RPM (RPM),Battery Voltage (V),LP Fuel Pressure (PSI),HP Rail Pressure (PSI),Coolant Temp (°C),Oil Pressure (PSI),Engine Oil Temp (°C),Boost Pressure (PSI),Throttle Angle (%),Intake Pressure (PSI),Valvetronic Angle (deg)
2026-03-07 14:31:58.066,,,,,,,,14.32,,,
2026-03-07 14:31:58.156,,,94.6,,,,,14.32,,,
2026-03-07 14:31:58.257,,,94.6,160.4,,,,14.32,,,
2026-03-07 14:31:58.347,,,94.6,160.4,,,,14.32,,14.33,
2026-03-07 14:31:58.443,,,94.6,160.4,,,52.5,14.32,,14.33,
2026-03-07 14:31:58.531,,,94.6,160.4,53.2,,52.5,14.32,,14.33,
2026-03-07 14:31:58.619,,,94.6,160.4,53.2,,52.5,14.32,,14.33,190.9
2026-03-07 14:31:58.718,0,,94.6,160.4,53.2,,52.5,14.32,,14.33,190.9
2026-03-07 14:31:58.821,0,13.40,94.6,160.4,53.2,,52.5,14.32,,14.33,190.9
2026-03-07 14:31:58.915,0,13.40,94.6,160.4,53.2,,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.019,0,13.40,94.6,160.4,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.113,0,13.40,94.6,160.4,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.204,0,13.40,94.6,160.4,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.292,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.379,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.468,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.558,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.646,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.749,0,13.40,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.843,0,13.30,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:31:59.936,0,13.30,94.6,155.3,53.2,14.7,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.040,0,13.30,94.6,155.3,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.135,0,13.30,94.6,155.3,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.228,0,13.30,94.8,155.3,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.331,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.434,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.522,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.616,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.706,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.810,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.900,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:00.997,0,13.30,94.8,151.7,53.2,14.8,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.100,0,13.30,94.8,151.7,53.2,14.9,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.195,0,13.30,94.8,151.7,53.2,14.9,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.302,0,13.30,94.8,151.7,53.2,14.9,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.390,0,13.30,94.8,224.5,53.2,14.9,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.498,0,13.30,94.8,224.5,53.2,14.9,52.5,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.599,0,13.30,94.8,224.5,53.2,14.9,53.2,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.689,0,13.30,94.8,224.5,54.0,14.9,53.2,14.32,7.6,14.33,190.9
2026-03-07 14:32:01.781,0,13.30,94.8,224.5,54.0,14.9,53.2,14.32,7.6,14.33,41.0
2026-03-07 14:32:01.870,1094,13.30,94.8,224.5,54.0,14.9,53.2,14.32,7.6,14.33,41.0
2026-03-07 14:32:01.964,1094,13.70,94.8,224.5,54.0,14.9,53.2,14.32,7.6,14.33,41.0
2026-03-07 14:32:02.054,1094,13.70,94.8,224.5,54.0,14.9,53.2,14.32,19.9,14.33,41.0
2026-03-07 14:32:02.146,1094,13.70,94.8,224.5,54.0,42.9,53.2,14.32,19.9,14.33,41.0
2026-03-07 14:32:02.238,1094,13.70,94.8,224.5,54.0,42.9,53.2,14.29,19.9,14.33,41.0
2026-03-07 14:32:02.329,1094,13.70,104.6,224.5,54.0,42.9,53.2,14.29,19.9,14.33,41.0
2026-03-07 14:32:02.432,1094,13.70,104.6,1621.5,54.0,42.9,53.2,14.29,19.9,14.33,41.0
2026-03-07 14:32:02.521,1094,13.70,104.6,1621.5,54.0,42.9,53.2,14.29,19.9,14.09,41.0
2026-03-07 14:32:02.611,1094,13.70,104.6,1621.5,54.0,42.9,53.2,14.29,19.9,14.09,41.0
2026-03-07 14:32:02.703,1094,13.70,104.6,1621.5,53.2,42.9,53.2,14.29,19.9,14.09,41.0
2026-03-07 14:32:02.795,1094,13.70,104.6,1621.5,53.2,42.9,53.2,14.29,19.9,14.09,36.7
2026-03-07 14:32:02.898,1260,13.70,104.6,1621.5,53.2,42.9,53.2,14.29,19.9,14.09,36.7
2026-03-07 14:32:02.989,1260,14.70,104.6,1621.5,53.2,42.9,53.2,14.29,19.9,14.09,36.7
2026-03-07 14:32:03.088,1260,14.70,104.6,1621.5,53.2,42.9,53.2,14.29,9.9,14.09,36.7
2026-03-07 14:32:03.188,1260,14.70,104.6,1621.5,53.2,44.0,53.2,14.29,9.9,14.09,36.7
2026-03-07 14:32:03.284,1260,14.70,104.6,1621.5,53.2,44.0,53.2,14.32,9.9,14.09,36.7
2026-03-07 14:32:03.380,1260,14.70,104.7,1621.5,53.2,44.0,53.2,14.32,9.9,14.09,36.7
2026-03-07 14:32:03.481,1260,14.70,104.7,1294.2,53.2,44.0,53.2,14.32,9.9,14.09,36.7
2026-03-07 14:32:03.567,1260,14.70,104.7,1294.2,53.2,44.0,53.2,14.32,9.9,13.70,36.7
2026-03-07 14:32:03.669,1260,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,9.9,13.70,36.7
2026-03-07 14:32:03.759,1260,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,9.9,13.70,36.7
2026-03-07 14:32:03.850,1260,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,9.9,13.70,32.8
2026-03-07 14:32:03.939,984,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,9.9,13.70,32.8
2026-03-07 14:32:04.047,984,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,9.9,13.70,32.8
2026-03-07 14:32:04.144,984,14.70,104.7,1294.2,53.2,44.0,52.5,14.32,6.3,13.70,32.8
2026-03-07 14:32:04.233,984,14.70,104.7,1294.2,53.2,42.6,52.5,14.32,6.3,13.70,32.8
2026-03-07 14:32:04.329,984,14.70,104.7,1294.2,53.2,42.6,52.5,14.32,6.3,13.70,32.8
2026-03-07 14:32:04.428,984,14.70,104.7,1294.2,53.2,42.6,52.5,14.32,6.3,13.70,32.8
2026-03-07 14:32:04.532,984,14.70,104.7,1015.4,53.2,42.6,52.5,14.32,6.3,13.70,32.8
2026-03-07 14:32:04.629,984,14.70,104.7,1015.4,53.2,42.6,52.5,14.32,6.3,13.55,32.8
2026-03-07 14:32:04.733,984,14.70,104.7,1015.4,53.2,42.6,52.5,14.32,6.3,13.55,32.8
